"id","name","brand","category","price","image_url","description","tags"
"1","Saucony Kinvara 13 Running Shoe","Saucony","Footwear","57.79","https://m.media-amazon.com/images/I/71QeGmahUnL._AC_UX500_.jpg","Lightweight speed with signature flexible feel for road running.","running shoes athletic men breathable road-running"
"2","Kishigo Premium Black Series Safety Vest","Kishigo","Apparel","28.50","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Heavy duty reflective vest with 6 pockets and silver lining.","safety vest construction reflective workwear protective"
"3","Solar Post Cap Lights (4 Pack)","TWINSLUXES","Home Decor","33.99","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Waterproof LED solar lights for garden and patio decoration.","solar lights outdoor garden waterproof patio led"
"4","Accutire MS-4021B Digital Tire Gauge","Accutire","Automotive","17.95","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Heavy duty tire pressure gauge with backlit LCD display.","automotive tool digital maintenance pressure tires"
"5","Adivasi Ayurvedic Neelgiri Hair Oil","SAURA LIFE","Beauty","9.99","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Natural hair growth oil formulated with 101 rare herbs.","ayurvedic beauty hair-oil growth natural organic"
"6","KASOTT Memory Foam Airpod Pro Tips","KASOTT","Electronics","17.88","https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Replacement ear tips for AirPods Pro with noise reduction.","electronics audio airpods accessories foam comfort"
"7","Bio-Oil Skincare Body Oil (Natural)","Bio-Oil","Beauty","24.95","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Natural serum for scars and stretchmarks and skin hydration.","skincare beauty natural oil moisturizer body-care"
"8","Vans Old Skool Classic Skate Shoes","Vans","Footwear","70.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Iconic waffle sole canvas sneakers for skating and casual wear.","footwear shoes vans skate classic unisex"
"9","Brother TN-620 Laser Toner Cartridge","Brother","Office","73.98","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","High-yield black toner for professional office printing.","office printer toner ink supplies professional"
"10","Zenith Pro Mechanical Keyboard","Nexus","Peripherals","129.00","https://images.unsplash.com/photo-1511467687858-23d96c32e4ae","RGB backlit mechanical keyboard with tactile switches.","gaming peripherals mechanical rgb wireless"
